1;Methane;1.702;9.081;-2.164;0.000
2;Ethane;1.131;19.225;-5.561;0.000
3;Propane;1.213;28.785;-8.824;0.000
4;n-Butane;1.935;36.915;-11.402;0.000
5;CO2;5.457;1.045;0.000;-1.157
6;Benzeno;-0.206;39.064;-13.301;0.000
7;Methanol;2.211;12.216;-3.450;0.000
8;Ethanol;3.518;20.001;-6.002;0.000
9;n-Hexane;3.025;53.722;-16.791;0.000
10;n-Nonane;0;0;0;0
11;H2S(4C);3.931;1.490;0.000;-0.232
12;Methanol;2.211;12.216;-3.450;0.000
13;n-Hexane;3.025;53.722;-16.791;0.000
14;n-Heptane;3.570;62.127;-19.486;0.000
15;CO2;5.457;1.045;0.000;-1.157
16;CO2;5.457;1.045;0.000;-1.157
17;CO2;5.457;1.045;0.000;-1.157
18;CO2;5.457;1.045;0.000;-1.157
19;CO2;5.457;1.045;0.000;-1.157
20;CO2;5.457;1.045;0.000;-1.157
21;CO2;5.457;1.045;0.000;-1.157